hour_of_day,day_of_week,severity_numeric,source_type_numeric,src_bytes,dst_bytes,event_freq_1m,protocol,dst_port,threat_intel_flag,duration,same_srv_rate,diff_srv_rate,serror_rate,rerror_rate,count,srv_count,dst_host_count,dst_host_srv_count,label
1.0,2.0,1.0,3.0,114.0,0.0,1000000.0,17.0,53.0,0.0,1.1e-05,0.5815517250433236,0.41844827495667636,0.027250140428616416,0.02052963155503767,20.982520828713366,12.0,2.2803484926961346,1.1806821096937616,1
21.0,1.0,0.0,5.0,10.0,0.0,0.0,17.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5.0,4.0,0.0,1.0,71.0,0.0,0.0,6.0,8020.0,0.0,22110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,4.0,0.0,2.0,1241.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.0,1.0,0.0,2.0,393.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14.0,2.0,0.0,2.0,712.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12.0,1.0,0.0,8.0,3.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17.0,2.0,1.0,3.0,146.0,178.0,52631.57894736842,17.0,53.0,0.0,0.00114,0.9415258373764931,0.05847416262350691,0.00017998657336493665,0.03660479865411702,1.4212209946803829,1.0,1.364448253221735,1.0,0
23.0,1.0,2.0,1.0,97.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,3.0,1.0,3.0,130.0,162.0,63965.88486140725,17.0,53.0,0.0,0.000938,0.7260863977092976,0.2739136022907024,0.007504683338408956,0.0006664425291762399,1.554457054722437,1.0,2.539732608501034,1.3766899082774344,0
11.0,1.0,0.0,5.0,10.0,0.0,0.0,17.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17.0,0.0,1.0,3.0,132.0,164.0,54844.60694698355,17.0,53.0,0.0,0.001094,0.6602717729104991,0.3397282270895009,0.004763357378117886,0.00826424238987481,3.1569667766195644,2.0,3.3881511655075633,1.2416904554798733,0
18.0,4.0,0.0,8.0,3.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2.0,1.0,3.0,8.0,39.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.0,3.0,1.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,65.0,1.0,1
13.0,1.0,0.0,2.0,910.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.0,6.0,1.0,9.0,68.0,324.0,306122.44897959183,6.0,53.0,0.0,0.000196,0.9029848015583577,0.0970151984416423,0.012453305663625038,0.0014315081880223212,1.7610161570574745,2.0,3.0438586809738832,1.0930961732797126,0
9.0,2.0,3.0,1.0,141.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21.0,4.0,0.0,5.0,10.0,0.0,0.0,17.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,6.0,0.0,1.0,45.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,4.0,2.0,3.0,264.0,0.0,1000000.0,17.0,53.0,0.0,2e-06,0.9026515161763091,0.09734848382369088,0.004989747981967085,0.005410609076446416,1.1216585189512929,1.0,1.1918005663722977,1.1848841849134562,0
10.0,0.0,1.0,9.0,68.0,158.0,1940.9937888198758,6.0,53.0,0.0,0.030912,0.8133972470841156,0.18660275291588435,0.01433686048923063,0.00047672304187220755,4.711234970915303,4.0,3.3629303678627065,1.0,0
22.0,5.0,1.0,3.0,114.0,0.0,1000000.0,17.0,53.0,0.0,1.1e-05,0.6987498001071968,0.3012501998928032,0.028739842604834708,0.00403829006177367,21.639165234566256,15.0,2.5548048633037634,1.7304889488635555,1
9.0,5.0,3.0,1.0,114.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14.0,6.0,1.0,10.0,520.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,98.0,98.0,255.0,255.0,1
9.0,6.0,1.0,3.0,564.0,354.0,39.20241382329381,6.0,111.0,0.0,1.530518,0.06051381375252041,0.9394861862474796,0.006508369556737713,0.0033496168174936593,46.5762535950296,3.0,75.62130980474046,1.482946541237174,1
8.0,3.0,1.0,9.0,54.0,54.0,60000.0,17.0,53.0,0.0,0.001,0.3008906781444444,0.6991093218555555,0.021293696231762214,0.02826680862136648,17.076980390697457,5.0,2.231934624346978,1.337946378514055,1
9.0,4.0,0.0,8.0,59.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,2.0,2.0,1.0,83.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11.0,0.0,0.0,8.0,38.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19.0,2.0,0.0,8.0,3.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14.0,0.0,-0.0,1.0,33.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,5.0,3.0,1.0,100.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14.0,1.0,2.0,9.0,44.0,0.0,60000.0,6.0,443.0,0.0,0.001,0.13393789766697045,0.8660621023330295,0.0029065598460457356,0.03888428671979238,77.24142502641718,10.0,58.57092595107853,1.3410038482238706,1
20.0,0.0,1.0,8.0,48.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23.0,3.0,0.0,1.0,95.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13.0,3.0,1.0,9.0,3184.0,1050.0,114.50381679389312,6.0,50000.0,0.0,0.524,0.5027198001817403,0.49728019981825966,0.003072504182517703,0.02781013549049405,10.89351400312189,5.0,2.020029618125022,1.086761688847445,1
9.0,5.0,3.0,1.0,50.0,0.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,0.0,0.0,9.0,1594.0,6101.0,8.930713736688027,6.0,443.0,0.0,6.718388,0.6215196052286116,0.3784803947713884,0.014309403985499887,0.004770478118019889,1.0,1.0,1.3765559315052731,1.2514294781584856,0
4.0,2.0,1.0,9.0,1493.0,2056.0,289.8550724637681,6.0,21.0,0.0,0.207,0.6390258306632837,0.36097416933671633,0.0026515405965588513,0.010072260412965774,4.229009043278517,3.0,1.0779186827116234,1.1694014946571942,0
3.0,2.0,1.0,9.0,146.0,178.0,60000.0,17.0,53.0,0.0,0.001,0.6559163924795659,0.3440836075204341,0.022783613105364697,0.005247336935616259,3.1531703604347197,2.0,2.139009589493083,1.7891477870830255,0
16.0,2.0,0.0,2.0,454.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,1.0,0.0,5.0,10.0,0.0,0.0,17.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20.0,4.0,0.0,1.0,10.0,0.0,0.0,6.0,8020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14.0,1.0,-0.0,9.0,40.0,0.0,60000.0,6.0,50040.0,0.0,0.001,0.06487571120816954,0.9351242887918305,0.0031921276761365807,0.026181663451624666,74.76115519066622,5.0,64.26664616578248,1.7117019282006438,1
12.0,2.0,0.0,9.0,0.0,0.0,0.9502195949565448,6.0,80.0,0.0,63.143299,0.6298122124909612,0.3701877875090388,0.9404520291170471,0.00968172120332692,196.62374156454743,124.0,1.5091088406072304,1.2511692701832975,1
16.0,1.0,1.0,9.0,44.0,40.0,8571.42857142857,6.0,139.0,0.0,0.007,0.058870398156432246,0.9411296018435678,0.002458127629782577,0.006784970753934741,102.46037499226176,6.0,59.859448020016096,1.0,1
0.0,6.0,0.0,1.0,71.0,0.0,0.0,6.0,8020.0,0.0,6805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18.0,1.0,0.0,8.0,263.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19.0,3.0,1.0,3.0,4804.0,2552.0,9942.004971002485,6.0,5190.0,0.0,0.006035,0.8918590265487315,0.1081409734512685,0.005277766366359087,0.004782781454993865,2.4917279030782384,2.0,1.4216934165986768,1.0663446840349067,0
15.0,3.0,1.0,3.0,132.0,164.0,57747.83445620789,17.0,53.0,0.0,0.001039,0.6836799675156439,0.31632003248435614,0.003674344746239318,0.007728984744114245,5.44930031767031,4.0,5.749864605251712,1.1422277971379935,0
7.0,2.0,1.0,9.0,1920.0,4312.0,326.0869565217391,6.0,5190.0,0.0,0.184,0.5482031112039137,0.45179688879608626,0.014733027787630826,0.02197070715345499,1.0,1.0,3.2631514235878676,2.4410861604142533,0
2.0,2.0,2.0,9.0,1798.0,336.0,28.53067047075606,6.0,9111.0,0.0,2.103,0.6151628299121119,0.3848371700878881,0.017546153645780712,0.030813797071598325,21.604039058100128,13.0,1.0,1.0984683644109716,1
8.0,6.0,0.0,1.0,59.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,3.0,0.0,2.0,639.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17.0,3.0,1.0,9.0,112.0,60.0,60000.0,6.0,80.0,0.0,0.001,0.6272869988014392,0.37271300119856077,0.7939606686348853,0.002631412088613761,193.11600041117447,121.0,1.0,1.54004792582695,1
3.0,5.0,0.0,5.0,10.0,0.0,0.0,17.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13.0,6.0,0.0,8.0,48.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20.0,1.0,1.0,3.0,568.0,312.0,13172.338090010977,17.0,111.0,0.0,0.004555,0.6499311724230862,0.3500688275769138,0.017317271953689848,0.006204666708944312,2.229051555413835,1.0,3.4812813323216876,1.8999458216210856,0
17.0,0.0,0.0,8.0,17.0,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11.0,5.0,1.0,9.0,486.0,417.0,0.5185566221871555,6.0,80.0,0.0,115.705783,0.7010451354935857,0.2989548645064143,0.007553758982752575,0.002114892866902155,1.905588323665631,1.0,2.2674605832728174,1.429821731592914,0
3.0,3.0,1.0,1.0,61.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22.0,6.0,0.0,3.0,12752.0,13202.0,2882.3981552651803,6.0,22.0,0.0,0.020816,0.6280381127845106,0.3719618872154894,0.007967980735414739,0.022570002636902488,2.3264374945399804,1.0,2.128869613171892,1.5061842323185464,0
